Species (lay term)	Absolute Brain Mass (g)	Absolute Brain Mass (g) Ref	Neonatal Brain Mass (g)	Body Mass (g)	Body Mass (g) Ref	Gestation (days)	Gestation (days) Ref	Walking onset (Postnatal days)	Walking onset (Postnatal days) Ref	Walking onset (Postconception days)	Precocial/Altricial	Hindlimb Standing Position
Elephant shrew	1.37	(1)	0.58	64	(1)	46	(1)	1	(2)	47	Pre	Plant.
Aardvark	72	(3)		52000	(3)	225	(3)	14	(3)	239	Alt	Plant.
Elephant	4480	(1)	1650	2750000	(1)	655	(1)	1		656	Pre	Nonplant.
Armadillo	12	(1)	3.5	3700	(1)	120	(1)	1	(2)	121	Pre	Plant.
Chimpanzee	382	(4)	128	45000	(1)	230	(1)	153	(5)	383	Pre	Plant.
Human	1350	(6)	335	65000	(1)	270	(1)	357	(7)	627	Pre	Plant.
Gorilla	500	(6)	227	140000	(1)	265	(1)	183	(5)	448	Pre	Plant.
Macaque	93.8	(8)	55	7340	(1)	165	(9)	61	(10)	226	Pre	Plant.
Tree shrew	3.15	(1)	0.53	150	(1)	46	(1)	21	(11)	67	Alt	Plant.
Rat	2	(6)	0.28	339	(1)	21.5	(9)	15	(12)	36.5	Alt	Plant.
Mouse	0.45	(1)	0.09	24	(1)	18.5	(9)	11	(13)	29.5	Alt	Plant.
Hamster	1.12	(1)	0.06	125	(1)	15.5	(9)	13	(14)	28.5	Alt	Plant.
Guinea pig	4	(15)	2.52	971	(1)	65	(16)	1	(17)	66	Pre	Plant.
Ferret	7.1	(18)		1800	(2)	41	(9)	35	(19)	76	Alt	Plant.
Cat	28.4	(1)	5.6	2500	(1)	65	(9)	32	(20)	97	Alt	Nonplant.
Dog	70.2	(1)	6.8	8480	(1)	63	(1)	49	(21)	112	Alt	Nonplant.
Horse	585	(1, 6)	368	484000	(1)	330	(1)	1		331	Pre	Nonplant.
Sheep	140	(6)	52	48800	(1)	150	(1)	1		151	Pre	Nonplant.
Cow	456	(1)	199	520000	(1)	280	(1)	1		281	Pre	Nonplant.
Chital	219	(1)	78.6	88500	(1)	218	(1)	1		219	Pre	Nonplant.
Elk	435	(1)	203	200000	(1)	255	(1)	1		256	Pre	Nonplant.
Hippopotamus	590	(1)	195	1400000	(1)	240	(1)	1		241	Pre	Nonplant.
Camel	762	(6)		690000	(2)	395	(22)	1		396	Pre	Nonplant.
Hedgehog	3.5	(1)	0.313	928	(1)	40	(2)	14	(23)	54	Alt	Plant.
